1779080599.043319 server started (1536774): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1779080599.043350 on Linux 6.17.0-23-generic #23-Ubuntu SMP PREEMPT_DYNAMIC Sat Apr 11 23:29:57 UTC 2026
1779080599.043363 using libevent 2.1.12-stable poll
1779080599.043367 using ncurses 6.5 20250216
1779080599.051801 yylex_token: copy-mode
1779080599.051803 yylex_token: end at ;
1779080599.051804 yylex_token: -q
1779080599.051806 yylex_token: end at WS
1779080599.051808 yylex_token: send-keys
1779080599.051809 yylex_token: end at WS
1779080599.051811 yylex_token: -l
1779080599.051812 yylex_token: end at WS
1779080599.051814 yylex_token: --
1779080599.051816 yylex_token: end at }
1779080599.051818 yylex_token: #{q:mouse_word}
1779080599.051823 yylex_token: end at WS
1779080599.051824 yylex_token: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1779080599.051826 yylex_token: end at WS
1779080599.051828 yylex_token: c
1779080599.051830 yylex_token: end at WS
1779080599.051831 yylex_token: copy-mode
1779080599.051833 yylex_token: end at ;
1779080599.051834 yylex_token: -q
1779080599.051836 yylex_token: end at WS
1779080599.051838 yylex_token: set-buffer
1779080599.051839 yylex_token: end at WS
1779080599.051841 yylex_token: --
1779080599.051843 yylex_token: end at }
1779080599.051845 yylex_token: #{q:mouse_word}
1779080599.051848 yylex_token: end at WS
1779080599.051850 yylex_token: #{?mouse_line,Copy Line,}
1779080599.051851 yylex_token: end at WS
1779080599.051853 yylex_token: l
1779080599.051855 yylex_token: end at WS
1779080599.051856 yylex_token: copy-mode
1779080599.051858 yylex_token: end at ;
1779080599.051859 yylex_token: -q
1779080599.051861 yylex_token: end at WS
1779080599.051863 yylex_token: set-buffer
1779080599.051864 yylex_token: end at WS
1779080599.051866 yylex_token: --
1779080599.051868 yylex_token: end at }
1779080599.051870 yylex_token: #{q:mouse_line}
1779080599.051871 yylex_token: end at WS
1779080599.051873 yylex_token: 
1779080599.051878 yylex_token: end at WS
1779080599.051880 yylex_token: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1779080599.051882 yylex_token: end at WS
1779080599.051883 yylex_token: C-h
1779080599.051885 yylex_token: end at WS
1779080599.051886 yylex_token: copy-mode
1779080599.051888 yylex_token: end at ;
1779080599.051889 yylex_token: -q
1779080599.051892 yylex_token: end at WS
1779080599.051893 yylex_token: send-keys
1779080599.051895 yylex_token: end at WS
1779080599.051896 yylex_token: -l
1779080599.051897 yylex_token: end at WS
1779080599.051899 yylex_token: --
1779080599.051901 yylex_token: end at }
1779080599.051903 yylex_token: #{q:mouse_hyperlink}
1779080599.051908 yylex_token: end at WS
1779080599.051910 yylex_token: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1779080599.051912 yylex_token: end at WS
1779080599.051913 yylex_token: h
1779080599.051915 yylex_token: end at WS
1779080599.051917 yylex_token: copy-mode
1779080599.051918 yylex_token: end at ;
1779080599.051920 yylex_token: -q
1779080599.051922 yylex_token: end at WS
1779080599.051923 yylex_token: set-buffer
1779080599.051925 yylex_token: end at WS
1779080599.051926 yylex_token: --
1779080599.051929 yylex_token: end at }
1779080599.051931 yylex_token: #{q:mouse_hyperlink}
1779080599.051932 yylex_token: end at WS
1779080599.051934 yylex_token: 
1779080599.051936 yylex_token: end at WS
1779080599.051938 yylex_token: Horizontal Split
1779080599.051941 yylex_token: end at WS
1779080599.051943 yylex_token: h
1779080599.051945 yylex_token: end at WS
1779080599.051946 yylex_token: split-window
1779080599.051948 yylex_token: end at }
1779080599.051949 yylex_token: -h
1779080599.051952 yylex_token: end at WS
1779080599.051953 yylex_token: Vertical Split
1779080599.051955 yylex_token: end at WS
1779080599.051956 yylex_token: v
1779080599.051959 yylex_token: end at WS
1779080599.051960 yylex_token: split-window
1779080599.051962 yylex_token: end at }
1779080599.051963 yylex_token: -v
1779080599.051965 yylex_token: end at WS
1779080599.051966 yylex_token: 
1779080599.051970 yylex_token: end at WS
1779080599.051971 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Up
1779080599.051973 yylex_token: end at WS
1779080599.051974 yylex_token: u
1779080599.051976 yylex_token: end at WS
1779080599.051978 yylex_token: swap-pane
1779080599.051979 yylex_token: end at }
1779080599.051981 yylex_token: -U
1779080599.051987 yylex_token: end at WS
1779080599.051989 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Down
1779080599.051990 yylex_token: end at WS
1779080599.051992 yylex_token: d
1779080599.051994 yylex_token: end at WS
1779080599.051995 yylex_token: swap-pane
1779080599.051997 yylex_token: end at }
1779080599.051998 yylex_token: -D
1779080599.052002 yylex_token: end at WS
1779080599.052004 yylex_token: #{?pane_marked_set,,-}Swap Marked
1779080599.052005 yylex_token: end at WS
1779080599.052007 yylex_token: s
1779080599.052009 yylex_token: end at }
1779080599.052010 yylex_token: swap-pane
1779080599.052012 yylex_token: end at WS
1779080599.052014 yylex_token: 
1779080599.052016 yylex_token: end at WS
1779080599.052017 yylex_token: Kill
1779080599.052019 yylex_token: end at WS
1779080599.052020 yylex_token: X
1779080599.052022 yylex_token: end at }
1779080599.052024 yylex_token: kill-pane
1779080599.052026 yylex_token: end at WS
1779080599.052027 yylex_token: Respawn
1779080599.052029 yylex_token: end at WS
1779080599.052031 yylex_token: R
1779080599.052033 yylex_token: end at WS
1779080599.052035 yylex_token: respawn-pane
1779080599.052036 yylex_token: end at }
1779080599.052038 yylex_token: -k
1779080599.052041 yylex_token: end at WS
1779080599.052043 yylex_token: #{?pane_marked,Unmark,Mark}
1779080599.052044 yylex_token: end at WS
1779080599.052046 yylex_token: m
1779080599.052048 yylex_token: end at WS
1779080599.052049 yylex_token: select-pane
1779080599.052051 yylex_token: end at }
1779080599.052052 yylex_token: -m
1779080599.052057 yylex_token: end at WS
1779080599.052059 yylex_token: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1779080599.052061 yylex_token: end at WS
1779080599.052062 yylex_token: z
1779080599.052064 yylex_token: end at WS
1779080599.052066 yylex_token: resize-pane
1779080599.052067 yylex_token: end at }
1779080599.052069 yylex_token: -Z
1779080599.052072 cmd_parse_build_commands 0:0: bind
1779080599.052074 cmd_parse_build_commands 0:1: >
1779080599.052076 cmd_parse_build_commands 0:2 0:0: display-menu
1779080599.052078 cmd_parse_build_commands 0:2 0:1: -xP
1779080599.052079 cmd_parse_build_commands 0:2 0:2: -yP
1779080599.052082 cmd_parse_build_commands 0:2 0:3: -T
1779080599.052084 cmd_parse_build_commands 0:2 0:4: #[align=centre]#{pane_index} (#{pane_id})
1779080599.052086 cmd_parse_build_commands 0:2 0:5: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1779080599.052088 cmd_parse_build_commands 0:2 0:6: <
1779080599.052089 cmd_parse_build_commands 0:2 0:7 0:0: send
1779080599.052091 cmd_parse_build_commands 0:2 0:7 0:1: -X
1779080599.052093 cmd_parse_build_commands 0:2 0:7 0:2: history-top
1779080599.052095 cmd_parse_build_commands 0:2 0:8: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1779080599.052097 cmd_parse_build_commands 0:2 0:9: >
1779080599.052099 cmd_parse_build_commands 0:2 0:10 0:0: send
1779080599.052100 cmd_parse_build_commands 0:2 0:10 0:1: -X
1779080599.052102 cmd_parse_build_commands 0:2 0:10 0:2: history-bottom
1779080599.052104 cmd_parse_build_commands 0:2 0:11: 
1779080599.052106 cmd_parse_build_commands 0:2 0:12: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1779080599.052108 cmd_parse_build_commands 0:2 0:13: C-r
1779080599.052110 cmd_parse_build_commands 0:2 0:14 0:0: if
1779080599.052111 cmd_parse_build_commands 0:2 0:14 0:1: -F
1779080599.052114 cmd_parse_build_commands 0:2 0:14 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1779080599.052115 cmd_parse_build_commands 0:2 0:14 0:3: copy-mode -t=
1779080599.052117 cmd_parse_build_commands 0:2 0:14 1:0: send
1779080599.052119 cmd_parse_build_commands 0:2 0:14 1:1: -Xt=
1779080599.052121 cmd_parse_build_commands 0:2 0:14 1:2: search-backward
1779080599.052128 cmd_parse_build_commands 0:2 0:14 1:3: #{q:mouse_word}
1779080599.052130 cmd_parse_build_commands 0:2 0:15: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1779080599.052132 cmd_parse_build_commands 0:2 0:16: C-y
1779080599.052133 cmd_parse_build_commands 0:2 0:17 0:0: copy-mode
1779080599.052139 cmd_parse_build_commands 0:2 0:17 0:1: -q
1779080599.052141 cmd_parse_build_commands 0:2 0:17 1:0: send-keys
1779080599.052142 cmd_parse_build_commands 0:2 0:17 1:1: -l
1779080599.052144 cmd_parse_build_commands 0:2 0:17 1:2: --
1779080599.052146 cmd_parse_build_commands 0:2 0:17 1:3: #{q:mouse_word}
1779080599.052148 cmd_parse_build_commands 0:2 0:18: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1779080599.052149 cmd_parse_build_commands 0:2 0:19: c
1779080599.052151 cmd_parse_build_commands 0:2 0:20 0:0: copy-mode
1779080599.052153 cmd_parse_build_commands 0:2 0:20 0:1: -q
1779080599.052155 cmd_parse_build_commands 0:2 0:20 1:0: set-buffer
1779080599.052156 cmd_parse_build_commands 0:2 0:20 1:1: --
1779080599.052158 cmd_parse_build_commands 0:2 0:20 1:2: #{q:mouse_word}
1779080599.052160 cmd_parse_build_commands 0:2 0:21: #{?mouse_line,Copy Line,}
1779080599.052162 cmd_parse_build_commands 0:2 0:22: l
1779080599.052164 cmd_parse_build_commands 0:2 0:23 0:0: copy-mode
1779080599.052165 cmd_parse_build_commands 0:2 0:23 0:1: -q
1779080599.052167 cmd_parse_build_commands 0:2 0:23 1:0: set-buffer
1779080599.052169 cmd_parse_build_commands 0:2 0:23 1:1: --
1779080599.052170 cmd_parse_build_commands 0:2 0:23 1:2: #{q:mouse_line}
1779080599.052172 cmd_parse_build_commands 0:2 0:24: 
1779080599.052174 cmd_parse_build_commands 0:2 0:25: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1779080599.052176 cmd_parse_build_commands 0:2 0:26: C-h
1779080599.052178 cmd_parse_build_commands 0:2 0:27 0:0: copy-mode
1779080599.052179 cmd_parse_build_commands 0:2 0:27 0:1: -q
1779080599.052181 cmd_parse_build_commands 0:2 0:27 1:0: send-keys
1779080599.052183 cmd_parse_build_commands 0:2 0:27 1:1: -l
1779080599.052184 cmd_parse_build_commands 0:2 0:27 1:2: --
1779080599.052186 cmd_parse_build_commands 0:2 0:27 1:3: #{q:mouse_hyperlink}
1779080599.052188 cmd_parse_build_commands 0:2 0:28: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1779080599.052190 cmd_parse_build_commands 0:2 0:29: h
1779080599.052192 cmd_parse_build_commands 0:2 0:30 0:0: copy-mode
1779080599.052193 cmd_parse_build_commands 0:2 0:30 0:1: -q
1779080599.052195 cmd_parse_build_commands 0:2 0:30 1:0: set-buffer
1779080599.052197 cmd_parse_build_commands 0:2 0:30 1:1: --
1779080599.052198 cmd_parse_build_commands 0:2 0:30 1:2: #{q:mouse_hyperlink}
1779080599.052200 cmd_parse_build_commands 0:2 0:31: 
1779080599.052202 cmd_parse_build_commands 0:2 0:32: Horizontal Split
1779080599.052203 cmd_parse_build_commands 0:2 0:33: h
1779080599.052205 cmd_parse_build_commands 0:2 0:34 0:0: split-window
1779080599.052207 cmd_parse_build_commands 0:2 0:34 0:1: -h
1779080599.052209 cmd_parse_build_commands 0:2 0:35: Vertical Split
1779080599.052210 cmd_parse_build_commands 0:2 0:36: v
1779080599.052212 cmd_parse_build_commands 0:2 0:37 0:0: split-window
1779080599.052214 cmd_parse_build_commands 0:2 0:37 0:1: -v
1779080599.052216 cmd_parse_build_commands 0:2 0:38: 
1779080599.052217 cmd_parse_build_commands 0:2 0:39: #{?#{>:#{window_panes},1},,-}Swap Up
1779080599.052219 cmd_parse_build_commands 0:2 0:40: u
1779080599.052221 cmd_parse_build_commands 0:2 0:41 0:0: swap-pane
1779080599.052223 cmd_parse_build_commands 0:2 0:41 0:1: -U
1779080599.052225 cmd_parse_build_commands 0:2 0:42: #{?#{>:#{window_panes},1},,-}Swap Down
1779080599.052226 cmd_parse_build_commands 0:2 0:43: d
1779080599.052228 cmd_parse_build_commands 0:2 0:44 0:0: swap-pane
1779080599.052230 cmd_parse_build_commands 0:2 0:44 0:1: -D
1779080599.052232 cmd_parse_build_commands 0:2 0:45: #{?pane_marked_set,,-}Swap Marked
1779080599.052233 cmd_parse_build_commands 0:2 0:46: s
1779080599.052235 cmd_parse_build_commands 0:2 0:47 0:0: swap-pane
1779080599.052237 cmd_parse_build_commands 0:2 0:48: 
1779080599.052238 cmd_parse_build_commands 0:2 0:49: Kill
1779080599.052240 cmd_parse_build_commands 0:2 0:50: X
1779080599.052242 cmd_parse_build_commands 0:2 0:51 0:0: kill-pane
1779080599.052244 cmd_parse_build_commands 0:2 0:52: Respawn
1779080599.052245 cmd_parse_build_commands 0:2 0:53: R
1779080599.052249 cmd_parse_build_commands 0:2 0:54 0:0: respawn-pane
1779080599.052251 cmd_parse_build_commands 0:2 0:54 0:1: -k
1779080599.052253 cmd_parse_build_commands 0:2 0:55: #{?pane_marked,Unmark,Mark}
1779080599.052254 cmd_parse_build_commands 0:2 0:56: m
1779080599.052256 cmd_parse_build_commands 0:2 0:57 0:0: select-pane
1779080599.052258 cmd_parse_build_commands 0:2 0:57 0:1: -m
1779080599.052260 cmd_parse_build_commands 0:2 0:58: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1779080599.052262 cmd_parse_build_commands 0:2 0:59: z
1779080599.052263 cmd_parse_build_commands 0:2 0:60 0:0: resize-pane
1779080599.052265 cmd_parse_build_commands 0:2 0:60 0:1: -Z
1779080599.052267 cmd_parse_build_commands 0:0: display-menu
1779080599.052269 cmd_parse_build_commands 0:1: -xP
1779080599.052271 cmd_parse_build_commands 0:2: -yP
1779080599.052272 cmd_parse_build_commands 0:3: -T
1779080599.052274 cmd_parse_build_commands 0:4: #[align=centre]#{pane_index} (#{pane_id})
1779080599.052276 cmd_parse_build_commands 0:5: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1779080599.052278 cmd_parse_build_commands 0:6: <
1779080599.052280 cmd_parse_build_commands 0:7 0:0: send
1779080599.052281 cmd_parse_build_commands 0:7 0:1: -X
1779080599.052283 cmd_parse_build_commands 0:7 0:2: history-top
1779080599.052285 cmd_parse_build_commands 0:8: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1779080599.052287 cmd_parse_build_commands 0:9: >
1779080599.052289 cmd_parse_build_commands 0:10 0:0: send
1779080599.052290 cmd_parse_build_commands 0:10 0:1: -X
1779080599.052292 cmd_parse_build_commands 0:10 0:2: history-bottom
1779080599.052294 cmd_parse_build_commands 0:11: 
1779080599.052296 cmd_parse_build_commands 0:12: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1779080599.052297 cmd_parse_build_commands 0:13: C-r
1779080599.052299 cmd_parse_build_commands 0:14 0:0: if
1779080599.052301 cmd_parse_build_commands 0:14 0:1: -F
1779080599.052303 cmd_parse_build_commands 0:14 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1779080599.052305 cmd_parse_build_commands 0:14 0:3: copy-mode -t=
1779080599.052306 cmd_parse_build_commands 0:14 1:0: send
1779080599.052308 cmd_parse_build_commands 0:14 1:1: -Xt=
1779080599.052310 cmd_parse_build_commands 0:14 1:2: search-backward
1779080599.052311 cmd_parse_build_commands 0:14 1:3: #{q:mouse_word}
1779080599.052314 cmd_parse_build_commands 0:15: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1779080599.052315 cmd_parse_build_commands 0:16: C-y
1779080599.052317 cmd_parse_build_commands 0:17 0:0: copy-mode
1779080599.052319 cmd_parse_build_commands 0:17 0:1: -q
1779080599.052320 cmd_parse_build_commands 0:17 1:0: send-keys
1779080599.052322 cmd_parse_build_commands 0:17 1:1: -l
1779080599.052324 cmd_parse_build_commands 0:17 1:2: --
1779080599.052325 cmd_parse_build_commands 0:17 1:3: #{q:mouse_word}
1779080599.052327 cmd_parse_build_commands 0:18: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1779080599.052329 cmd_parse_build_commands 0:19: c
1779080599.052331 cmd_parse_build_commands 0:20 0:0: copy-mode
1779080599.052333 cmd_parse_build_commands 0:20 0:1: -q
1779080599.052334 cmd_parse_build_commands 0:20 1:0: set-buffer
1779080599.052336 cmd_parse_build_commands 0:20 1:1: --
1779080599.052337 cmd_parse_build_commands 0:20 1:2: #{q:mouse_word}
1779080599.052339 cmd_parse_build_commands 0:21: #{?mouse_line,Copy Line,}
1779080599.052341 cmd_parse_build_commands 0:22: l
1779080599.052343 cmd_parse_build_commands 0:23 0:0: copy-mode
1779080599.052344 cmd_parse_build_commands 0:23 0:1: -q
1779080599.052346 cmd_parse_build_commands 0:23 1:0: set-buffer
1779080599.052348 cmd_parse_build_commands 0:23 1:1: --
1779080599.052349 cmd_parse_build_commands 0:23 1:2: #{q:mouse_line}
1779080599.052351 cmd_parse_build_commands 0:24: 
1779080599.052353 cmd_parse_build_commands 0:25: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1779080599.052355 cmd_parse_build_commands 0:26: C-h
1779080599.052357 cmd_parse_build_commands 0:27 0:0: copy-mode
1779080599.052360 cmd_parse_build_commands 0:27 0:1: -q
1779080599.052362 cmd_parse_build_commands 0:27 1:0: send-keys
1779080599.052363 cmd_parse_build_commands 0:27 1:1: -l
1779080599.052365 cmd_parse_build_commands 0:27 1:2: --
1779080599.052367 cmd_parse_build_commands 0:27 1:3: #{q:mouse_hyperlink}
1779080599.052369 cmd_parse_build_commands 0:28: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1779080599.052371 cmd_parse_build_commands 0:29: h
1779080599.052372 cmd_parse_build_commands 0:30 0:0: copy-mode
1779080599.052374 cmd_parse_build_commands 0:30 0:1: -q
1779080599.052376 cmd_parse_build_commands 0:30 1:0: set-buffer
1779080599.052377 cmd_parse_build_commands 0:30 1:1: --
1779080599.052379 cmd_parse_build_commands 0:30 1:2: #{q:mouse_hyperlink}
1779080599.052380 cmd_parse_build_commands 0:31: 
1779080599.052382 cmd_parse_build_commands 0:32: Horizontal Split
1779080599.052384 cmd_parse_build_commands 0:33: h
1779080599.052386 cmd_parse_build_commands 0:34 0:0: split-window
1779080599.052387 cmd_parse_build_commands 0:34 0:1: -h
1779080599.052389 cmd_parse_build_commands 0:35: Vertical Split
1779080599.052391 cmd_parse_build_commands 0:36: v
1779080599.052392 cmd_parse_build_commands 0:37 0:0: split-window
1779080599.052394 cmd_parse_build_commands 0:37 0:1: -v
1779080599.052396 cmd_parse_build_commands 0:38: 
1779080599.052398 cmd_parse_build_commands 0:39: #{?#{>:#{window_panes},1},,-}Swap Up
1779080599.052399 cmd_parse_build_commands 0:40: u
1779080599.052401 cmd_parse_build_commands 0:41 0:0: swap-pane
1779080599.052403 cmd_parse_build_commands 0:41 0:1: -U
1779080599.052405 cmd_parse_build_commands 0:42: #{?#{>:#{window_panes},1},,-}Swap Down
1779080599.052406 cmd_parse_build_commands 0:43: d
1779080599.052408 cmd_parse_build_commands 0:44 0:0: swap-pane
1779080599.052410 cmd_parse_build_commands 0:44 0:1: -D
1779080599.052411 cmd_parse_build_commands 0:45: #{?pane_marked_set,,-}Swap Marked
1779080599.052413 cmd_parse_build_commands 0:46: s
1779080599.052415 cmd_parse_build_commands 0:47 0:0: swap-pane
1779080599.052416 cmd_parse_build_commands 0:48: 
1779080599.052418 cmd_parse_build_commands 0:49: Kill
1779080599.052420 cmd_parse_build_commands 0:50: X
1779080599.052421 cmd_parse_build_commands 0:51 0:0: kill-pane
1779080599.052423 cmd_parse_build_commands 0:52: Respawn
1779080599.052425 cmd_parse_build_commands 0:53: R
1779080599.052426 cmd_parse_build_commands 0:54 0:0: respawn-pane
1779080599.052428 cmd_parse_build_commands 0:54 0:1: -k
1779080599.052430 cmd_parse_build_commands 0:55: #{?pane_marked,Unmark,Mark}
1779080599.052431 cmd_parse_build_commands 0:56: m
1779080599.052433 cmd_parse_build_commands 0:57 0:0: select-pane
1779080599.052435 cmd_parse_build_commands 0:57 0:1: -m
1779080599.052437 cmd_parse_build_commands 0:58: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1779080599.052439 cmd_parse_build_commands 0:59: z
1779080599.052441 cmd_parse_build_commands 0:60 0:0: resize-pane
1779080599.052443 cmd_parse_build_commands 0:60 0:1: -Z
1779080599.052445 cmd_parse_build_commands 0:0: send
1779080599.052447 cmd_parse_build_commands 0:1: -X
1779080599.052448 cmd_parse_build_commands 0:2: history-top
1779080599.052452 args_parse_flags: next -X
1779080599.052454 args_parse_flags: -X
1779080599.052455 args_parse_flags: next history-top
1779080599.052457 args_parse: flags end at 2 of 3
1779080599.052459 args_parse: 2 = history-top (type STRING)
1779080599.052463 cmd_parse_build_commands: send-keys -X history-top
1779080599.052465 cmd_parse_build_commands 0:0: send
1779080599.052466 cmd_parse_build_commands 0:1: -X
1779080599.052468 cmd_parse_build_commands 0:2: history-bottom
1779080599.052471 args_parse_flags: next -X
1779080599.052473 args_parse_flags: -X
1779080599.052475 args_parse_flags: next history-bottom
1779080599.052476 args_parse: flags end at 2 of 3
1779080599.052478 args_parse: 2 = history-bottom (type STRING)
1779080599.052482 cmd_parse_build_commands: send-keys -X history-bottom
1779080599.052484 cmd_parse_build_commands 0:0: if
1779080599.052488 cmd_parse_build_commands 0:1: -F
1779080599.052490 cmd_parse_build_commands 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1779080599.052492 cmd_parse_build_commands 0:3: copy-mode -t=
1779080599.052493 cmd_parse_build_commands 1:0: send
1779080599.052495 cmd_parse_build_commands 1:1: -Xt=
1779080599.052497 cmd_parse_build_commands 1:2: search-backward
1779080599.052498 cmd_parse_build_commands 1:3: #{q:mouse_word}
1779080599.052501 args_parse_flags: next -F
1779080599.052503 args_parse_flags: -F
1779080599.052505 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1779080599.052506 args_parse: flags end at 2 of 4
1779080599.052508 args_parse: 2 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1} (type STRING)
1779080599.052510 args_parse: 3 = copy-mode -t= (type STRING)
1779080599.052514 args_parse_flags: next -Xt=
1779080599.052516 args_parse_flags: -X
1779080599.052519 args_parse_flag_argument: -t = =
1779080599.052521 args_parse_flags: next search-backward
1779080599.052522 args_parse: flags end at 2 of 4
1779080599.052524 args_parse: 2 = search-backward (type STRING)
1779080599.052526 args_parse: 3 = #{q:mouse_word} (type STRING)
1779080599.052536 cmd_parse_build_commands: if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}"
1779080599.052538 cmd_parse_build_commands 0:0: copy-mode
1779080599.052540 cmd_parse_build_commands 0:1: -q
1779080599.052541 cmd_parse_build_commands 1:0: send-keys
1779080599.052543 cmd_parse_build_commands 1:1: -l
1779080599.052545 cmd_parse_build_commands 1:2: --
1779080599.052546 cmd_parse_build_commands 1:3: #{q:mouse_word}
1779080599.052549 args_parse_flags: next -q
1779080599.052550 args_parse_flags: -q
1779080599.052552 args_parse: flags end at 2 of 2
1779080599.052556 args_parse_flags: next -l
1779080599.052557 args_parse_flags: -l
1779080599.052559 args_parse_flags: next --
1779080599.052561 args_parse: flags end at 3 of 4
1779080599.052562 args_parse: 3 = #{q:mouse_word} (type STRING)
1779080599.052567 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_word}"
1779080599.052569 cmd_parse_build_commands 0:0: copy-mode
1779080599.052571 cmd_parse_build_commands 0:1: -q
1779080599.052573 cmd_parse_build_commands 1:0: set-buffer
1779080599.052574 cmd_parse_build_commands 1:1: --
1779080599.052576 cmd_parse_build_commands 1:2: #{q:mouse_word}
1779080599.052578 args_parse_flags: next -q
1779080599.052579 args_parse_flags: -q
1779080599.052581 args_parse: flags end at 2 of 2
1779080599.052584 args_parse_flags: next --
1779080599.052586 args_parse: flags end at 2 of 3
1779080599.052588 args_parse: 2 = #{q:mouse_word} (type STRING)
1779080599.052593 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_word}"
1779080599.052595 cmd_parse_build_commands 0:0: copy-mode
1779080599.052596 cmd_parse_build_commands 0:1: -q
1779080599.052598 cmd_parse_build_commands 1:0: set-buffer
1779080599.052600 cmd_parse_build_commands 1:1: --
1779080599.052601 cmd_parse_build_commands 1:2: #{q:mouse_line}
1779080599.052603 args_parse_flags: next -q
1779080599.052605 args_parse_flags: -q
1779080599.052606 args_parse: flags end at 2 of 2
1779080599.052609 args_parse_flags: next --
1779080599.052611 args_parse: flags end at 2 of 3
1779080599.052614 args_parse: 2 = #{q:mouse_line} (type STRING)
1779080599.052618 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_line}"
1779080599.052620 cmd_parse_build_commands 0:0: copy-mode
1779080599.052622 cmd_parse_build_commands 0:1: -q
1779080599.052623 cmd_parse_build_commands 1:0: send-keys
1779080599.052625 cmd_parse_build_commands 1:1: -l
1779080599.052626 cmd_parse_build_commands 1:2: --
1779080599.052628 cmd_parse_build_commands 1:3: #{q:mouse_hyperlink}
1779080599.052630 args_parse_flags: next -q
1779080599.052632 args_parse_flags: -q
1779080599.052633 args_parse: flags end at 2 of 2
1779080599.052636 args_parse_flags: next -l
1779080599.052638 args_parse_flags: -l
1779080599.052639 args_parse_flags: next --
1779080599.052647 args_parse: flags end at 3 of 4
1779080599.052649 args_parse: 3 = #{q:mouse_hyperlink} (type STRING)
1779080599.052653 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}"
1779080599.052655 cmd_parse_build_commands 0:0: copy-mode
1779080599.052657 cmd_parse_build_commands 0:1: -q
1779080599.052658 cmd_parse_build_commands 1:0: set-buffer
1779080599.052660 cmd_parse_build_commands 1:1: --
1779080599.052662 cmd_parse_build_commands 1:2: #{q:mouse_hyperlink}
1779080599.052664 args_parse_flags: next -q
1779080599.052665 args_parse_flags: -q
1779080599.052667 args_parse: flags end at 2 of 2
1779080599.052670 args_parse_flags: next --
1779080599.052671 args_parse: flags end at 2 of 3
1779080599.052673 args_parse: 2 = #{q:mouse_hyperlink} (type STRING)
1779080599.052677 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_hyperlink}"
1779080599.052680 cmd_parse_build_commands 0:0: split-window
1779080599.052681 cmd_parse_build_commands 0:1: -h
1779080599.052684 args_parse_flags: next -h
1779080599.052686 args_parse_flags: -h
1779080599.052687 args_parse: flags end at 2 of 2
1779080599.052690 cmd_parse_build_commands: split-window -h
1779080599.052692 cmd_parse_build_commands 0:0: split-window
1779080599.052693 cmd_parse_build_commands 0:1: -v
1779080599.052696 args_parse_flags: next -v
1779080599.052698 args_parse_flags: -v
1779080599.052699 args_parse: flags end at 2 of 2
1779080599.052702 cmd_parse_build_commands: split-window -v
1779080599.052713 cmd_parse_build_commands 0:0: swap-pane
1779080599.052714 cmd_parse_build_commands 0:1: -U
1779080599.052718 args_parse_flags: next -U
1779080599.052719 args_parse_flags: -U
1779080599.052721 args_parse: flags end at 2 of 2
1779080599.052723 cmd_parse_build_commands: swap-pane -U
